task,regime,league,model_family,n_train,n_val,best_params,auc,pr_auc,log_loss,brier,ece,precision_at_k,error
bracket,separate,MBB,adaboost,80796,11581,"{""clf__n_estimators"": 200, ""clf__learning_rate"": 1.0}",0.8391268005823476,,0.5637665747398587,0.18797566467247198,0.17135917405227472,,
bracket,separate,MBB,grad_boost,80796,11581,"{""clf__n_estimators"": 400, ""clf__max_depth"": 4, ""clf__learning_rate"": 0.03}",0.8412532242707728,,0.45067309065548095,0.14888117640331763,0.0095869663114178,,
bracket,separate,MBB,xgb_style_hgb,80796,11581,"{""clf__max_iter"": 200, ""clf__max_depth"": 3, ""clf__learning_rate"": 0.03}",0.841027492193227,,0.4512442762771597,0.14897814413085436,0.01285154162054684,,
bracket,separate,MBB,knn,80796,11581,"{""clf__weights"": ""distance"", ""clf__n_neighbors"": 55}",0.8343221504709748,,0.4951453044192032,0.151871776370371,0.014760365430691796,,
bracket,separate,MBB,gaussian_nb,80796,11581,{},0.8047060135677736,,0.7780250264984622,0.19940720722831598,0.1447059008789661,,
bracket,separate,MBB,lda,80796,11581,{},0.8389469657185523,,0.45501417555578944,0.14965935832703103,0.012671306520880003,,
bracket,separate,MBB,qda,80796,11581,{},0.8298894852167147,,0.5344107209013549,0.16597659989881075,0.09009400422569637,,
bracket,separate,MBB,perceptron,80796,11581,"{""clf__alpha"": 1e-06}",0.7890785388637289,,0.7710444407825688,0.2041760898716384,0.14941250755321972,,
bracket,separate,MBB,mlp,80796,11581,"{""clf__hidden_layer_sizes"": [128, 64, 32], ""clf__alpha"": 0.002154434690031882}",0.8418409362243437,,0.4504500909189582,0.14890603747610306,0.016484867983006773,,
bracket,separate,MBB,xgboost,80796,11581,{},0.8406419352140615,,0.45116842599597967,0.14911125302567313,0.01092562280623771,,
bracket,separate,MBB,probit_proxy,80796,11581,{},0.8403586702486651,,0.45209412624582485,0.1492077226504233,0.008493025653473919,,
bracket,separate,MBB,autoencoder_proxy_mlp,80796,11581,{},0.8412421661337811,,0.450711074536502,0.14889631869288833,0.010509532033887634,,
bracket,separate,WBB,logreg_l2,57575,11010,"{""clf__C"": 6.951927961775605}",0.8801100400213463,,0.4131123237387814,0.13451058028884866,0.011869776113096434,,
bracket,separate,WBB,logreg_l1,57575,11010,"{""clf__C"": 6.951927961775605}",0.8801101108499465,,0.4131099188823025,0.1345092021008043,0.011907264397611562,,
bracket,separate,WBB,logreg_elastic,57575,11010,"{""clf__l1_ratio"": 0.2, ""clf__C"": 1.0}",0.8801120586364481,,0.4131074685531533,0.13450807068597567,0.011902927537822383,,
bracket,separate,WBB,linear_svm,57575,11010,"{""clf__C"": 2.3357214690901213}",0.8798071769274702,,0.5012367162227938,0.16119469969212044,0.14835776999648304,,
bracket,separate,WBB,rbf_svm,12000,11010,{},0.8559418874001622,,0.44924906339562637,0.14257622970097358,0.04779315025063276,,
bracket,separate,WBB,poly_svm,12000,11010,{},0.8683389287337145,,0.44816509404965654,0.14153876312988375,0.06559358965622916,,
