task,league,scheme,split_id,train_seasons,val_seasons,n_train,n_val
bracket,WBB,expanding,6,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2024,2025",57575,11010
bracket,WBB,sliding,0,"2012,2013,2014,2015,2016,2017,2018,2019","2020,2021",38301,8704
bracket,WBB,sliding,1,"2013,2014,2015,2016,2017,2018,2019,2020","2021,2022",40011,8736
bracket,WBB,sliding,2,"2014,2015,2016,2017,2018,2019,2020,2021","2022,2023",38642,10570
bracket,WBB,sliding,3,"2015,2016,2017,2018,2019,2020,2021,2022","2023,2024",38749,10854
bracket,WBB,sliding,4,"2016,2017,2018,2019,2020,2021,2022,2023","2024,2025",39177,11010
bracket,Combined,expanding,0,"2008,2009,2010,2011,2012,2013","2014,2015",37874,20112
bracket,Combined,expanding,1,"2008,2009,2010,2011,2012,2013,2014","2015,2016",48000,19761
bracket,Combined,expanding,2,"2008,2009,2010,2011,2012,2013,2014,2015","2016,2017",57986,19854
bracket,Combined,expanding,3,"2008,2009,2010,2011,2012,2013,2014,2015,2016","2017,2018",67761,19944
bracket,Combined,expanding,4,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017","2018,2019",77840,20536
bracket,Combined,expanding,5,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","2019,2020",87705,21252
bracket,Combined,expanding,6,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019","2020,2021",98376,18099
bracket,Combined,expanding,7,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020","2021,2022",108957,18239
bracket,Combined,expanding,8,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021","2022,2023",116475,21896
bracket,Combined,expanding,9,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022","2023,2024",127196,22418
bracket,Combined,expanding,10,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2024,2025",138371,22591
bracket,Combined,sliding,0,"2008,2009,2010,2011,2012,2013,2014,2015","2016,2017",57986,19854
bracket,Combined,sliding,1,"2009,2010,2011,2012,2013,2014,2015,2016","2017,2018",63039,19944
bracket,Combined,sliding,2,"2010,2011,2012,2013,2014,2015,2016,2017","2018,2019",68304,20536
bracket,Combined,sliding,3,"2011,2012,2013,2014,2015,2016,2017,2018","2019,2020",73177,21252
bracket,Combined,sliding,4,"2012,2013,2014,2015,2016,2017,2018,2019","2020,2021",78806,18099
bracket,Combined,sliding,5,"2013,2014,2015,2016,2017,2018,2019,2020","2021,2022",80967,18239
bracket,Combined,sliding,6,"2014,2015,2016,2017,2018,2019,2020,2021","2022,2023",78601,21896
bracket,Combined,sliding,7,"2015,2016,2017,2018,2019,2020,2021,2022","2023,2024",79196,22418
bracket,Combined,sliding,8,"2016,2017,2018,2019,2020,2021,2022,2023","2024,2025",80385,22591
