task,league,regime,model,auc,pr_auc,log_loss,brier,ece,precision_at_k,recall_at_k,split_id
selection,Combined,ablation,S1_winpct,0.7278027796592508,0.4240346559310256,0.43924778399834313,0.1387515143020798,0.022567991451234996,0.41911764705882354,0.41911764705882354,2.0
selection,Combined,ablation,S2_elo,0.9998827697598083,0.9995221609156173,0.03290836200448916,0.008064956201405746,0.021228248239316,0.9852941176470589,0.9852941176470589,2.0
selection,Combined,ablation,S3_sos,0.99988928255093,0.9995473984773444,0.0329658866854449,0.008084683630961076,0.02201269077710248,0.9852941176470589,0.9852941176470589,2.0
selection,Combined,ablation,S4_efficiency,0.9998925389464909,0.999559364588736,0.03307575664243708,0.008116733922484952,0.022816483724037124,0.9852941176470589,0.9852941176470589,2.0
selection,Combined,ablation,S5_recency,0.9998957953420518,0.9995731859067368,0.03308244200909353,0.008127065257376668,0.022813180988611396,0.9852941176470589,0.9852941176470589,2.0
selection,Combined,ablation,S6_conference,0.9996385400927421,0.998577131270357,0.031884829089461296,0.007897422614183037,0.019761105331367844,0.9742647058823529,0.9742647058823529,2.0
selection,Combined,ablation,S1_winpct,0.7355809345014602,0.44394388954700703,0.43421267425233706,0.1371503917872481,0.0187444673447325,0.4338235294117647,0.4338235294117647,3.0
selection,Combined,ablation,S2_elo,0.9999087400917813,0.999627433198014,0.0316177472866793,0.007742837709192635,0.02162165702281098,0.9852941176470589,0.9852941176470589,3.0
selection,Combined,ablation,S3_sos,0.9999152586566541,0.9996530795283337,0.03172245777008814,0.007781345478204198,0.021697543496464206,0.9852941176470589,0.9852941176470589,3.0
selection,Combined,ablation,S4_efficiency,0.9999022215269087,0.9995996498610125,0.03184842902486423,0.007826686258864585,0.02175737277922751,0.9852941176470589,0.9852941176470589,3.0
selection,Combined,ablation,S5_recency,0.9999119993742177,0.9996387461507569,0.03185165172855042,0.007820237796480212,0.021783906015800335,0.9852941176470589,0.9852941176470589,3.0
selection,Combined,ablation,S6_conference,0.9996740717563621,0.9987171462024,0.030715794142528965,0.007609978511772831,0.01783851268808928,0.9779411764705882,0.9779411764705882,3.0
selection,Combined,ablation,S1_winpct,0.7145051704427354,0.4191968868598197,0.4430329243493124,0.1395184002240913,0.01667345076775388,0.4117647058823529,0.4117647058823529,4.0
selection,Combined,ablation,S2_elo,0.9999188058615672,0.9996662489814568,0.03041802593324189,0.007445435757298593,0.020626191113353773,0.9852941176470589,0.9852941176470589,4.0
selection,Combined,ablation,S3_sos,0.9999253013926418,0.9996919427121864,0.03060359320864905,0.007495777071546929,0.020788839751587983,0.9852941176470589,0.9852941176470589,4.0
selection,Combined,ablation,S4_efficiency,0.9999155580960298,0.9996522482340084,0.030594239690489293,0.007511633212441091,0.02076419515353359,0.9852941176470589,0.9852941176470589,4.0
selection,Combined,ablation,S5_recency,0.9999123103304925,0.9996393099755687,0.030546129420834137,0.007499214938122139,0.02071524836117188,0.9852941176470589,0.9852941176470589,4.0
selection,Combined,ablation,S6_conference,0.9996752234462689,0.9987176832024213,0.02950740077280585,0.007348039272126122,0.016898079541143925,0.9779411764705882,0.9779411764705882,4.0
selection,Combined,ablation,S1_winpct,0.7085345251657001,0.4087058430899069,0.4436030991524784,0.1402883961932009,0.024850747284583922,0.3639705882352941,0.3639705882352941,5.0
