round,seed_a,team_a,seed_b,team_b,p_team_a_win,winner,winner_seed
Sweet 16,5,LSU Tigers,14,Vanderbilt Commodores,0.5210169974699507,LSU Tigers,5
Sweet 16,6,Iowa Hawkeyes,12,Oklahoma Sooners,0.6540681718480796,Iowa Hawkeyes,6
Sweet 16,8,Louisville Cardinals,11,Ohio State Buckeyes,0.5898859669337452,Louisville Cardinals,8
Sweet 16,9,TCU Lady Frogs,10,Michigan Wolverines,0.5326879863258469,TCU Lady Frogs,9
Elite 8,1,Connecticut Huskies,9,TCU Lady Frogs,0.833401022504045,Connecticut Huskies,1
Elite 8,2,South Carolina Gamecocks,8,Louisville Cardinals,0.7799158686398645,South Carolina Gamecocks,2
Elite 8,3,UCLA Bruins,6,Iowa Hawkeyes,0.8218289290315693,UCLA Bruins,3
Elite 8,4,Texas Longhorns,5,LSU Tigers,0.5758408037971284,Texas Longhorns,4
Final 4,1,Connecticut Huskies,4,Texas Longhorns,0.7070616598195777,Connecticut Huskies,1
Final 4,2,South Carolina Gamecocks,3,UCLA Bruins,0.4779363482096719,UCLA Bruins,3
Championship,1,Connecticut Huskies,3,UCLA Bruins,0.56796898736138,Connecticut Huskies,1
