task,league,model_family,auc,pr_auc,log_loss,leakage_risk_score,risk_band
selection,WBB,perceptron,0.9998117847821723,0.9991506447472814,0.01191298085894655,65,high
selection,WBB,mlp,0.9990338285484842,0.9955127108768561,0.03480358862963471,65,high
selection,WBB,xgboost,1.0,0.9999999999999999,0.0007517243583414717,65,high
selection,WBB,probit_proxy,0.9999498092752459,0.9997829242262939,0.026957141799345136,65,high
selection,WBB,autoencoder_proxy_mlp,0.9995482834772134,0.9977679170727509,0.02284879103351208,65,high
bracket,Combined,logreg_l2,0.8611778274647882,,0.433170215451427,0,low
bracket,Combined,logreg_l1,0.8611446891432544,,0.4332479705820017,0,low
bracket,Combined,logreg_elastic,0.8611613837296705,,0.433189744699131,0,low
bracket,Combined,linear_svm,0.860963721556512,,0.51514283557059,0,low
bracket,Combined,rbf_svm,0.829032725697098,,0.47383530379328564,0,low
bracket,Combined,poly_svm,0.8448169597760289,,0.4733400964411468,0,low
bracket,Combined,decision_tree,0.8545045211967531,,0.4413163225850811,0,low
bracket,Combined,random_forest,0.8608600161697015,,0.43429618249582047,0,low
bracket,Combined,extra_trees,0.8608609244244031,,0.4396259481461181,0,low
bracket,Combined,adaboost,0.8583561136587511,,0.5591477819513476,0,low
bracket,Combined,grad_boost,0.8617745637786746,,0.43208326018803905,0,low
bracket,Combined,xgb_style_hgb,0.8615508865958543,,0.4321204506242736,0,low
bracket,Combined,knn,0.855158027754499,,0.4660561816407028,0,low
bracket,Combined,gaussian_nb,0.8432282363273197,,0.65275669000149,0,low
bracket,Combined,lda,0.8599615533189885,,0.4355458130214572,0,low
bracket,Combined,qda,0.8552635107255107,,0.5163151169177681,0,low
bracket,Combined,perceptron,0.839718878561831,,0.7492004527830902,0,low
bracket,Combined,mlp,0.8620169596583883,,0.4312280347591403,0,low
bracket,Combined,xgboost,0.8616130501426316,,0.4318764465283329,0,low
bracket,Combined,probit_proxy,0.8611676636621775,,0.4331811409576977,0,low
bracket,Combined,autoencoder_proxy_mlp,0.8614597756742368,,0.431723247711341,0,low
bracket,MBB,logreg_l2,0.8404346673376063,,0.4519656481894368,0,low
bracket,MBB,logreg_l1,0.840280566847916,,0.4523701363337927,0,low
bracket,MBB,logreg_elastic,0.84044594629761,,0.4519543995428641,0,low
bracket,MBB,linear_svm,0.8402068459346381,,0.5273926334566247,0,low
bracket,MBB,rbf_svm,0.8049942725305209,,0.49136758984979106,0,low
bracket,MBB,poly_svm,0.8180862574093765,,0.49414932392525235,0,low
bracket,MBB,decision_tree,0.8357199771240948,,0.4569872454280916,0,low
bracket,MBB,random_forest,0.8396276271738412,,0.45397505432249935,0,low
bracket,MBB,extra_trees,0.838533890794799,,0.4685476691669954,0,low
bracket,MBB,adaboost,0.8391268005823476,,0.5637665747398587,0,low
bracket,MBB,grad_boost,0.8412532242707728,,0.45067309065548095,0,low
bracket,MBB,xgb_style_hgb,0.841027492193227,,0.4512442762771597,0,low
bracket,MBB,knn,0.8343221504709748,,0.4951453044192032,0,low
bracket,MBB,gaussian_nb,0.8047060135677736,,0.7780250264984622,0,low
bracket,MBB,lda,0.8389469657185523,,0.45501417555578944,0,low
bracket,MBB,qda,0.8298894852167147,,0.5344107209013549,0,low
bracket,MBB,perceptron,0.7890785388637289,,0.7710444407825688,0,low
bracket,MBB,mlp,0.8418409362243437,,0.4504500909189582,0,low
bracket,MBB,xgboost,0.8406419352140615,,0.45116842599597967,0,low
bracket,MBB,probit_proxy,0.8403586702486651,,0.45209412624582485,0,low
bracket,MBB,autoencoder_proxy_mlp,0.8412421661337811,,0.450711074536502,0,low
bracket,WBB,logreg_l2,0.8801100400213463,,0.4131123237387814,0,low
bracket,WBB,logreg_l1,0.8801101108499465,,0.4131099188823025,0,low
bracket,WBB,logreg_elastic,0.8801120586364481,,0.4131074685531533,0,low
bracket,WBB,linear_svm,0.8798071769274702,,0.5012367162227938,0,low
bracket,WBB,rbf_svm,0.8559418874001622,,0.44924906339562637,0,low
bracket,WBB,poly_svm,0.8683389287337145,,0.44816509404965654,0,low
bracket,WBB,decision_tree,0.8736649030227204,,0.4223172990412388,0,low
bracket,WBB,random_forest,0.8788984105743416,,0.4163688116377745,0,low
bracket,WBB,extra_trees,0.8799611937183106,,0.43951822703703947,0,low
bracket,WBB,adaboost,0.876123735581112,,0.5538457767333351,0,low
bracket,WBB,grad_boost,0.8788385604072871,,0.41840823741703903,0,low
bracket,WBB,xgb_style_hgb,0.8796156209785956,,0.41424955687569054,0,low
bracket,WBB,knn,0.8742463704149503,,0.4350245788595587,0,low
bracket,WBB,gaussian_nb,0.8718257144719935,,0.5864979616024341,0,low
bracket,WBB,lda,0.8788143016117651,,0.4153763690200209,0,low
bracket,WBB,qda,0.8747081905945215,,0.507054963310686,0,low
bracket,WBB,perceptron,0.8652944144813889,,0.940210182871318,0,low
bracket,WBB,mlp,0.880251166006975,,0.4133154186821865,0,low
bracket,WBB,xgboost,0.8796578171170839,,0.4128246447415951,0,low
bracket,WBB,probit_proxy,0.8801121648793483,,0.4131105276818147,0,low
bracket,WBB,autoencoder_proxy_mlp,0.8797447415165133,,0.41262591510290353,0,low
